"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"13.9","68.7"," CLOSED"," ON","    00:06:24","18.89","20.040080160321","0"
"13.9","68.9"," CLOSED"," ON","    00:06:27","18.89","20.040080160321","0"
"13.9","69"," CLOSED"," ON","    00:06:30","18.89","20.040080160321","0"
"13.8","69.1"," CLOSED"," ON","    00:06:32","18.89","19.646365422397","0"
"13.9","69.4"," CLOSED"," ON","    00:06:35","18.89","20.040080160321","0"
"13.9","69.3"," CLOSED"," ON","    00:06:37","18.89","20.040080160321","0"
"13.8","69.1"," CLOSED"," ON","    00:06:40","18.89","19.646365422397","0"
"13.9","69.1"," CLOSED"," ON","    00:06:43","18.89","20.040080160321","0"
"13.8","69.1"," CLOSED"," ON","    00:06:45","18.89","19.646365422397","0"
"13.8","69.3"," CLOSED"," ON","    00:06:48","18.89","19.646365422397","0"
"13.9","69.5"," CLOSED"," ON","    00:06:50","18.89","20.040080160321","0"
"13.8","69.4"," CLOSED"," ON","    00:06:53","18.89","19.646365422397","0"
"13.9","69.4"," CLOSED"," ON","    00:06:56","18.89","20.040080160321","0"
"13.8","69.3"," CLOSED"," ON","    00:06:58","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:01","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:03","18.89","19.646365422397","0"
"13.8","69.4"," CLOSED"," ON","    00:07:06","18.89","19.646365422397","0"
"13.8","69.4"," CLOSED"," ON","    00:07:08","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:11","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:14","18.89","19.646365422397","0"
"13.9","69.5"," CLOSED"," ON","    00:07:16","18.89","20.040080160321","0"
"13.8","69.5"," CLOSED"," ON","    00:07:19","18.89","19.646365422397","0"
"13.9","69.5"," CLOSED"," ON","    00:07:21","18.89","20.040080160321","0"
"13.8","69.5"," CLOSED"," ON","    00:07:24","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:27","18.89","19.646365422397","0"
"13.8","69.4"," CLOSED"," ON","    00:07:29","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:32","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:34","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:37","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:39","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:42","18.89","19.646365422397","0"
"13.8","69.5"," CLOSED"," ON","    00:07:45","18.89","19.646365422397","0"
"13.9","69.7"," CLOSED"," ON","    00:07:47","18.89","20.040080160321","0"
"13.8","69.8"," CLOSED"," ON","    00:07:50","18.89","19.646365422397","0"
"13.8","69.7"," CLOSED"," ON","    00:07:52","18.89","19.646365422397","0"
"13.8","69.6"," CLOSED"," ON","    00:07:55","18.89","19.646365422397","0"
"13.8","69.6"," CLOSED"," ON","    00:07:58","18.89","19.646365422397","0"
"13.8","69.8"," CLOSED"," ON","    00:08:00","18.89","19.646365422397","0"
"13.8","69.9"," CLOSED"," ON","    00:08:03","18.89","19.646365422397","0"
"13.8","69.9"," CLOSED"," ON","    00:08:05","18.89","19.646365422397","0"
"13.8","70"," CLOSED"," ON","    00:08:08","18.89","19.646365422397","0"
"13.8","70"," CLOSED"," ON","    00:08:10","18.89","19.646365422397","0"
"13.8","70.1"," CLOSED"," ON","    00:08:13","18.89","19.646365422397","0"
"13.8","70.3"," CLOSED"," ON","    00:08:16","18.89","19.646365422397","0"
"13.8","70.4"," CLOSED"," ON","    00:08:18","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:21","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:23","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:26","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:29","18.89","19.646365422397","0"
