TIME,PowerSource,UsedPower
03:17:00,Grid,0.5545287132263184
03:22:00,RES,-0.24629910290241241
03:23:00,RES,-0.3530941605567932
03:28:00,RES,-0.386552631855011
03:29:00,RES,-0.3877476453781128
03:30:00,RES,-0.3961125612258911
03:35:00,RES,-0.3590688109397888
03:36:00,RES,-0.24270446598529816
03:37:00,RES,-0.2240738421678543
03:41:00,RES,-0.05940823256969452
03:42:00,RES,-0.08971919119358063
03:43:00,RES,-0.2678084373474121
03:48:00,RES,-0.3973075747489929
03:49:00,RES,-0.3996971845626831
03:54:00,RES,-0.3853575587272644
03:55:00,RES,-0.3650436997413635
03:56:00,RES,-0.24868936836719513
04:01:00,RES,-0.08971919119358063
04:02:00,RES,-0.1117640882730484
04:03:00,RES,-0.27736806869506836
04:08:00,RES,-0.30843693017959595
04:09:00,RES,-0.3120216131210327
04:14:00,RES,-0.2821476459503174
04:15:00,RES,-0.2654185891151428
04:16:00,RES,-0.05940823256969452
04:21:00,RES,-0.10074155032634735
04:22:00,RES,-0.12364505231380463
04:23:00,RES,-0.14729245007038116
04:28:00,RES,-0.30604666471481323
04:29:00,RES,-0.31082695722579956
04:30:00,RES,-0.31441164016723633
04:35:00,RES,-0.10074155032634735
04:36:00,RES,-0.062163785099983215
04:42:00,RES,-0.12026678025722504
04:43:00,RES,-0.14053653180599213
04:49:00,RES,-0.3213985562324524
04:50:00,RES,-0.3268511891365051
04:51:00,Grid,0.5037990808486938
04:57:00,Grid,0.9230698943138123
04:58:00,Grid,0.9200204610824585
04:59:00,Grid,1.1449267864227295
05:00:00,Grid,1.1228916645050049
05:05:00,Grid,0.7667231559753418
05:06:00,Grid,0.7431707978248596
05:07:00,Grid,0.7259482145309448
05:08:00,Grid,0.5253404378890991
05:14:00,Grid,0.8107917308807373
05:15:00,Grid,0.8773244023323059
05:16:00,Grid,0.910871148109436
05:23:00,BES,0.04734233021736145
05:24:00,RES,-0.15845449268817902
05:25:00,RES,-0.17461071908473969
05:31:00,RES,-0.24298013746738434
05:32:00,RES,-0.22274728119373322
05:33:00,RES,-0.1773032695055008
05:39:00,Grid,0.15556317567825317
05:40:00,Grid,0.12853766977787018
05:41:00,Grid,0.1082683876156807
05:42:00,Grid,0.07786500453948975
05:48:00,RES,-0.22274728119373322
05:49:00,RES,-0.3213985562324524
05:50:00,RES,-0.3268511891365051
05:51:00,RES,-0.2357330173254013
05:57:00,Grid,0.18547780811786652
05:58:00,Grid,0.18258851766586304
05:59:00,Grid,0.3565901815891266
06:06:00,RES,-0.19076673686504364
06:07:00,RES,-0.20423011481761932
06:08:00,RES,-0.2164587825536728
06:14:00,Grid,0.08462131768465042
06:15:00,Grid,0.1386721432209015
06:16:00,Grid,0.17583239078521729
06:17:00,Grid,0.3933713436126709
06:23:00,Grid,0.03968355059623718
06:24:00,BES,0.016481980681419373
06:25:00,RES,-0.0007536560297012329
06:26:00,RES,-0.030916139483451843
06:33:00,RES,-0.18268834054470062
06:34:00,Grid,0.05117231607437134
06:35:00,Grid,0.11502494663000107
06:42:00,Grid,0.06266114115715027
06:43:00,Grid,0.03968355059623718
06:44:00,RES,0.0035554319620132446
06:45:00,RES,-0.02229812741279602
06:51:00,RES,-0.2357330173254013
06:52:00,RES,-0.0567699670791626
06:53:00,RES,0.007864058017730713
07:00:00,RES,0.3112283945083618
07:01:00,Grid,0.27580350637435913
07:02:00,RES,0.24113252758979797
07:09:00,RES,-0.08693249523639679
07:10:00,RES,-0.09985901415348053
07:11:00,RES,-0.08693249523639679
07:12:00,RES,-0.0567699670791626
07:19:00,RES,0.3277234137058258
07:20:00,RES,0.2850100100040436
07:21:00,RES,0.24113252758979797
07:28:00,RES,-0.11298637092113495
07:29:00,RES,-0.12714026868343353
07:30:00,RES,-0.1460122913122177
07:38:00,RES,0.4880627989768982
07:39:00,RES,0.46300196647644043
07:40:00,RES,0.4178921580314636
07:48:00,RES,-0.001073598861694336
07:49:00,RES,-0.010906964540481567
07:50:00,RES,-0.025657296180725098
07:51:00,Grid,1.3995219469070435
07:52:00,Grid,1.6678045988082886
08:01:00,Grid,2.348296880722046
08:02:00,Grid,2.5822415351867676
08:03:00,Grid,2.199159622192383
08:04:00,Grid,2.1339118480682373
08:05:00,RES,1.8059505224227905
08:14:00,RES,1.9112945795059204
08:15:00,RES,2.0190443992614746
08:16:00,RES,2.467331886291504
08:17:00,RES,2.502230167388916
08:18:00,RES,2.489851713180542
08:28:00,Grid,3.835862398147583
08:29:00,Grid,3.789257287979126
08:30:00,Grid,3.7706143856048584
08:31:00,Grid,3.462101459503174
08:41:00,Grid,4.218027114868164
08:42:00,Grid,4.4612932205200195
08:43:00,Grid,4.4146881103515625
08:44:00,Grid,4.040926456451416
08:45:00,Grid,3.99432110786438
08:55:00,Grid,4.3671650886535645
08:56:00,Grid,4.7688889503479
08:57:00,Grid,4.453999042510986
08:58:00,Grid,4.7688889503479
08:59:00,Grid,4.703640937805176
09:09:00,RES,3.508707284927368
09:10:00,RES,3.4807446002960205
09:11:00,RES,3.5273497104644775
09:12:00,RES,3.63920259475708
09:13:00,RES,4.106174468994141
09:24:00,Grid,5.919978618621826
09:25:00,Grid,5.864051818847656
09:26:00,Grid,5.826767921447754
09:27:00,Grid,5.780161380767822
09:28:00,Grid,5.752198696136475
09:38:00,Grid,6.647941589355469
09:39:00,Grid,6.573371887207031
09:40:00,Grid,6.489482402801514
09:41:00,Grid,6.414913654327393
09:42:00,Grid,6.041154384613037
09:53:00,RES,6.171648025512695
09:54:00,Grid,6.320377349853516
09:55:00,Grid,6.39957857131958
09:56:00,Grid,6.41638708114624
09:57:00,Grid,6.7318315505981445
10:08:00,RES,5.46232795715332
10:09:00,RES,5.46232795715332
10:10:00,RES,5.527575492858887
10:11:00,RES,5.6580705642700195
10:12:00,RES,5.773349761962891
10:13:00,RES,5.835425853729248
10:23:00,RES + BES,7.935
10:24:00,RES,7.549455165863037
10:25:00,RES,7.845634937286377
10:26:00,RES,7.475780010223389
10:27:00,RES,7.440402507781982
10:28:00,RES,7.422712802886963
10:39:00,RES,8.160213470458984
10:40:00,RES,7.61750602722168
10:41:00,RES,7.625449180603027
10:42:00,RES,7.6035966873168945
10:43:00,RES,7.574003219604492
10:44:00,RES,7.536757469177246
10:45:00,RES,6.927509784698486
11:03:00,Grid,9.212457656860352
11:04:00,Grid,9.217148780822754
11:05:00,Grid,9.217328071594238
11:06:00,RES,8.595958709716797
11:07:00,Grid,9.212528228759766
