TIME,Predicted_Power_final
2024-11-10 09:06:00,12.46896
2024-11-10 09:07:00,12.486295
2024-11-10 09:08:00,12.490637
2024-11-10 09:09:00,12.492814
2024-11-10 09:10:00,12.492808
2024-11-10 09:11:00,12.484124
2024-11-10 09:12:00,12.46676
2024-11-10 09:13:00,12.453266
2024-11-10 09:14:00,12.442846
2024-11-10 09:15:00,12.565326
2024-11-10 09:16:00,12.556654
2024-11-10 09:17:00,12.543667
2024-11-10 09:18:00,12.548014
2024-11-10 09:19:00,12.550201
2024-11-10 09:20:00,12.900376
2024-11-10 09:21:00,12.896065
2024-11-10 09:22:00,12.904749
2024-11-10 09:23:00,12.913429
2024-11-10 09:24:00,12.922107
2024-11-10 09:25:00,12.928618
2024-11-10 09:26:00,12.94812
2024-11-10 09:27:00,12.95463
2024-11-10 09:28:00,12.967091
2024-11-10 09:29:00,12.9654665
2024-11-10 09:30:00,13.106455
2024-11-10 09:31:00,13.095598
2024-11-10 09:32:00,13.09339
2024-11-10 09:33:00,13.069529
2024-11-10 09:34:00,13.047834
2024-11-10 09:35:00,13.0478115
2024-11-10 09:36:00,13.045641
2024-11-10 09:37:00,13.043487
2024-11-10 09:38:00,13.05
2024-11-10 09:39:00,13.050024
2024-11-10 09:40:00,13.056542
2024-11-10 09:41:00,13.071723
2024-11-10 09:42:00,13.08302
2024-11-10 09:43:00,13.093415
2024-11-10 09:44:00,13.099922
2024-11-10 09:45:00,13.255221
2024-11-10 09:46:00,13.274723
2024-11-10 09:47:00,13.2834
2024-11-10 09:48:00,13.283406
2024-11-10 09:49:00,13.28774
2024-11-10 09:50:00,13.289886
2024-11-10 09:51:00,13.276856
2024-11-10 09:52:00,13.255158
2024-11-10 09:53:00,13.255116
2024-11-10 09:54:00,13.244252
2024-11-10 09:55:00,13.239902
2024-11-10 09:56:00,13.235571
2024-11-10 09:57:00,13.238202
2024-11-10 09:58:00,13.231273
2024-11-10 09:59:00,13.248623
2024-11-10 10:00:00,13.436835
2024-11-10 10:01:00,13.43902
2024-11-10 10:02:00,13.44337
2024-11-10 10:03:00,13.475868
2024-11-10 10:04:00,13.484548
2024-11-10 10:05:00,13.486728
2024-11-10 10:06:00,13.497571
2024-11-10 10:07:00,13.499746
2024-11-10 10:08:00,13.510582
2024-11-10 10:09:00,13.508406
2024-11-10 10:10:00,13.517042
2024-11-10 10:11:00,13.48668
2024-11-10 10:12:00,13.486639
2024-11-10 10:13:00,13.47207
2024-11-10 10:14:00,13.456256
2024-11-10 10:15:00,13.592321
2024-11-10 10:16:00,13.600986
2024-11-10 10:17:00,13.603167
2024-11-10 10:18:00,13.607521
2024-11-10 10:19:00,13.629198
2024-11-10 10:20:00,13.968539
2024-11-10 10:21:00,13.962063
2024-11-10 10:22:00,13.97074
2024-11-10 10:23:00,13.97725
2024-11-10 10:24:00,13.990258
2024-11-10 10:25:00,14.009763
2024-11-10 10:26:00,14.020599
2024-11-10 10:27:00,14.020609
2024-11-10 10:28:00,14.024669
2024-11-10 10:29:00,14.020587
2024-11-10 10:30:00,14.153053
2024-11-10 10:31:00,14.144351
2024-11-10 10:32:00,14.109655
2024-11-10 10:33:00,14.111789
2024-11-10 10:34:00,14.111773
2024-11-10 10:35:00,14.107443
2024-11-10 10:36:00,14.105291
2024-11-10 10:37:00,14.10531
2024-11-10 10:38:00,14.1139965
2024-11-10 10:39:00,14.122681
2024-11-10 10:40:00,14.13786
2024-11-10 10:41:00,14.144376
2024-11-10 10:42:00,14.153053
2024-11-10 10:43:00,14.168227
